ticket_id,priority,status,category,subject,description,created_date,resolved_date,assigned_to,created_at
TKT-000204,High,In Progress,Email,Cannot send emails,Email service issue. Mail client: Gmail,2025-08-07,,Support Team,2025-08-07 14:20:31
TKT-000205,Critical,Resolved,Email,Attachment size limit,Email service issue. Mail client: Thunderbird,2025-09-29,2025-10-25,IT Team,2025-09-29 14:20:31
TKT-000206,High,Open,Database,Query performance slow,Database issue affecting production environment,2025-11-09,,Infrastructure Team,2025-11-09 14:20:31
TKT-000207,High,Closed,Security,Suspicious activity,Security concern reported. Impact: Department,2025-08-05,2025-09-27,Network Team,2025-08-05 14:20:31
TKT-000208,Low,In Progress,Network,Slow internet,Network connectivity issue affecting 20 users in Building A,2025-10-16,,Security Team,2025-10-16 14:20:31
TKT-000209,Low,Resolved,Other,General inquiry,General IT support request,2025-11-19,2026-01-03,Support Team,2025-11-19 14:20:31
TKT-000210,Medium,Closed,Printer,Printer driver needed,Printer malfunction in Floor 1,2025-08-21,2025-10-05,IT Team,2025-08-21 14:20:31
TKT-000211,Low,In Progress,Printer,Printer driver needed,Printer malfunction in Reception,2025-09-07,,Network Team,2025-09-07 14:20:31
TKT-000212,High,In Progress,Software,License renewal,Software problem affecting productivity. Application: IDE,2025-08-14,,Security Team,2025-08-14 14:20:31
TKT-000213,Critical,On Hold,Server,Service not responding,Server issue on db-server-03,2025-12-03,,Network Team,2025-12-03 14:20:31
TKT-000214,High,On Hold,Security,SSL certificate expired,Security concern reported. Impact: Department,2025-11-11,,Security Team,2025-11-11 14:20:31
TKT-000215,High,Resolved,Network,Slow internet,Network connectivity issue affecting 11 users in Building B,2025-06-20,2025-08-10,Support Team,2025-06-20 14:20:31
TKT-000216,Low,Resolved,Security,Suspicious activity,Security concern reported. Impact: Single user,2025-11-23,2025-12-03,Network Team,2025-11-23 14:20:31
TKT-000217,Critical,Open,Network,Slow internet,Network connectivity issue affecting 15 users in Remote,2025-10-17,,Support Team,2025-10-17 14:20:31
TKT-000218,Low,Closed,Security,Suspicious activity,Security concern reported. Impact: Organization-wide,2025-11-13,2025-12-26,Security Team,2025-11-13 14:20:31
TKT-000219,High,On Hold,Network,Cannot access shared drive,Network connectivity issue affecting 35 users in Building B,2025-10-16,,DevOps Team,2025-10-16 14:20:31
TKT-000220,Low,Resolved,Database,Query performance slow,Database issue affecting staging environment,2025-06-11,2025-06-23,Help Desk,2025-06-11 14:20:31
TKT-000221,Critical,In Progress,Hardware,Mouse not responding,Hardware issue reported by user. Device: Laptop,2025-11-21,,DevOps Team,2025-11-21 14:20:31
TKT-000222,High,Open,Hardware,Hard drive failure,Hardware issue reported by user. Device: Laptop,2025-08-29,,Security Team,2025-08-29 14:20:31
TKT-000223,High,Resolved,Software,License renewal,Software problem affecting productivity. Application: IDE,2025-11-28,2025-12-09,Database Team,2025-11-28 14:20:31
TKT-000224,Low,On Hold,Access,New user setup,User access issue. Type: Role change,2025-08-09,,DevOps Team,2025-08-09 14:20:31
TKT-000225,High,Closed,Access,Access denied,User access issue. Type: New hire,2025-08-11,2025-10-02,Infrastructure Team,2025-08-11 14:20:31
TKT-000226,Low,Resolved,Access,Access denied,User access issue. Type: New hire,2025-10-21,2025-11-28,DevOps Team,2025-10-21 14:20:31
TKT-000227,Critical,Open,Database,Access permission,Database issue affecting production environment,2025-07-28,,Help Desk,2025-07-28 14:20:31
TKT-000228,High,Closed,Email,Email account setup,Email service issue. Mail client: Outlook,2025-11-14,2025-11-15,Support Team,2025-11-14 14:20:31
TKT-000229,Critical,Closed,Network,Network printer offline,Network connectivity issue affecting 2 users in Building B,2025-08-12,2025-08-19,DevOps Team,2025-08-12 14:20:31
TKT-000230,Critical,Open,Software,Application crash,Software problem affecting productivity. Application: IDE,2025-11-01,,Database Team,2025-11-01 14:20:31
TKT-000231,Medium,Resolved,Server,Server down,Server issue on db-server-03,2025-08-10,2025-09-09,Support Team,2025-08-10 14:20:31
TKT-000232,Medium,Closed,Database,Data corruption,Database issue affecting development environment,2025-07-03,2025-08-07,Support Team,2025-07-03 14:20:31
TKT-000233,Critical,Open,Hardware,Hard drive failure,Hardware issue reported by user. Device: Monitor,2025-07-26,,Security Team,2025-07-26 14:20:31
TKT-000234,Low,Closed,Email,Attachment size limit,Email service issue. Mail client: Gmail,2025-11-16,2025-11-25,Database Team,2025-11-16 14:20:31
TKT-000235,Low,Open,Email,Spam filtering,Email service issue. Mail client: Web Mail,2025-10-06,,Support Team,2025-10-06 14:20:31
TKT-000236,Low,In Progress,Database,Database connection error,Database issue affecting staging environment,2025-07-01,,Security Team,2025-07-01 14:20:31
TKT-000237,High,Resolved,Other,Documentation needed,General IT support request,2025-07-02,2025-07-18,Database Team,2025-07-02 14:20:31
TKT-000238,Medium,Closed,Access,Password reset,User access issue. Type: Department transfer,2025-07-18,2025-08-13,Database Team,2025-07-18 14:20:31
TKT-000239,Medium,Closed,Security,Firewall configuration,Security concern reported. Impact: Department,2025-08-28,2025-09-03,Support Team,2025-08-28 14:20:31
TKT-000240,Critical,In Progress,Network,WiFi not working,Network connectivity issue affecting 49 users in Building B,2025-11-02,,IT Team,2025-11-02 14:20:31
TKT-000241,Medium,In Progress,Network,Network printer offline,Network connectivity issue affecting 25 users in Building A,2025-09-06,,Security Team,2025-09-06 14:20:31
TKT-000242,High,On Hold,Printer,Printer driver needed,Printer malfunction in Floor 3,2025-11-03,,Infrastructure Team,2025-11-03 14:20:31
TKT-000243,High,Resolved,Database,Database connection error,Database issue affecting staging environment,2025-09-02,2025-10-31,Support Team,2025-09-02 14:20:31
TKT-000244,Medium,Resolved,Printer,Paper jam,Printer malfunction in Reception,2025-07-08,2025-07-17,Security Team,2025-07-08 14:20:31
TKT-000245,Medium,Closed,Database,Query performance slow,Database issue affecting staging environment,2025-07-16,2025-07-24,Infrastructure Team,2025-07-16 14:20:31
TKT-000246,Medium,In Progress,Security,Firewall configuration,Security concern reported. Impact: Organization-wide,2025-10-02,,Help Desk,2025-10-02 14:20:31
TKT-000247,Medium,On Hold,Printer,Print quality issue,Printer malfunction in Floor 3,2025-07-05,,DevOps Team,2025-07-05 14:20:31
TKT-000248,Low,On Hold,Software,Performance issue,Software problem affecting productivity. Application: Browser,2025-11-23,,Network Team,2025-11-23 14:20:31
TKT-000249,High,In Progress,Database,Database connection error,Database issue affecting development environment,2025-11-06,,DevOps Team,2025-11-06 14:20:31
TKT-000250,Medium,Closed,Printer,Printer driver needed,Printer malfunction in Floor 3,2025-09-11,2025-10-14,DevOps Team,2025-09-11 14:20:31
TKT-000251,Low,Resolved,Network,Cannot access shared drive,Network connectivity issue affecting 37 users in Remote,2025-07-05,2025-08-26,IT Team,2025-07-05 14:20:31
TKT-000252,Critical,Resolved,Security,Virus detected,Security concern reported. Impact: Organization-wide,2025-08-24,2025-09-02,IT Team,2025-08-24 14:20:31
TKT-000253,Critical,In Progress,Network,Network printer offline,Network connectivity issue affecting 5 users in Building A,2025-09-10,,IT Team,2025-09-10 14:20:31
TKT-000254,Critical,Closed,Other,Feature request,General IT support request,2025-08-11,2025-08-25,Help Desk,2025-08-11 14:20:31
TKT-000255,Critical,In Progress,Database,Query performance slow,Database issue affecting development environment,2025-11-22,,DevOps Team,2025-11-22 14:20:31
TKT-000256,Low,Closed,Hardware,Hard drive failure,Hardware issue reported by user. Device: Laptop,2025-07-02,2025-08-24,Infrastructure Team,2025-07-02 14:20:31
TKT-000257,Critical,On Hold,Access,New user setup,User access issue. Type: Department transfer,2025-07-29,,Network Team,2025-07-29 14:20:31
TKT-000258,Critical,On Hold,Other,General inquiry,General IT support request,2025-09-23,,IT Team,2025-09-23 14:20:31
TKT-000259,Low,On Hold,Email,Email account setup,Email service issue. Mail client: Outlook,2025-06-22,,Security Team,2025-06-22 14:20:31
TKT-000260,Critical,Closed,Other,Documentation needed,General IT support request,2025-08-11,2025-08-23,IT Team,2025-08-11 14:20:31
TKT-000261,High,In Progress,Database,Access permission,Database issue affecting production environment,2025-06-12,,Database Team,2025-06-12 14:20:31
TKT-000262,High,Closed,Security,SSL certificate expired,Security concern reported. Impact: Organization-wide,2025-07-21,2025-08-06,IT Team,2025-07-21 14:20:31
TKT-000263,Low,Closed,Network,Slow internet,Network connectivity issue affecting 6 users in Building A,2025-10-08,2025-11-08,Infrastructure Team,2025-10-08 14:20:31
TKT-000264,High,In Progress,Security,Firewall configuration,Security concern reported. Impact: Department,2025-10-27,,Database Team,2025-10-27 14:20:31
TKT-000265,High,Open,Email,Email not syncing,Email service issue. Mail client: Outlook,2025-07-01,,Network Team,2025-07-01 14:20:31
TKT-000266,Critical,In Progress,Access,Password reset,User access issue. Type: New hire,2025-07-17,,Network Team,2025-07-17 14:20:31
TKT-000267,Medium,Closed,Other,General inquiry,General IT support request,2025-06-11,2025-07-01,Security Team,2025-06-11 14:20:31
TKT-000268,Medium,Open,Other,Feature request,General IT support request,2025-09-27,,Support Team,2025-09-27 14:20:31
TKT-000269,Medium,Open,Server,High CPU usage,Server issue on web-server-01,2025-11-07,,DevOps Team,2025-11-07 14:20:31
TKT-000270,Medium,In Progress,Email,Attachment size limit,Email service issue. Mail client: Thunderbird,2025-06-23,,Security Team,2025-06-23 14:20:31
TKT-000271,Low,Resolved,Database,Query performance slow,Database issue affecting development environment,2025-09-18,2025-09-27,Security Team,2025-09-18 14:20:31
TKT-000272,High,On Hold,Database,Database connection error,Database issue affecting development environment,2025-08-19,,IT Team,2025-08-19 14:20:31
TKT-000273,Medium,Resolved,Server,Application deployment,Server issue on app-server-02,2025-06-11,2025-07-04,Help Desk,2025-06-11 14:20:31
TKT-000274,Critical,Resolved,Security,Suspicious activity,Security concern reported. Impact: Organization-wide,2025-12-03,2025-12-17,Security Team,2025-12-03 14:20:31
TKT-000275,Medium,Resolved,Hardware,Mouse not responding,Hardware issue reported by user. Device: Laptop,2025-10-03,2025-10-08,Help Desk,2025-10-03 14:20:31
TKT-000276,High,Closed,Other,Feedback,General IT support request,2025-09-18,2025-10-23,Database Team,2025-09-18 14:20:31
TKT-000277,Medium,In Progress,Other,Documentation needed,General IT support request,2025-09-22,,IT Team,2025-09-22 14:20:31
TKT-000278,Medium,On Hold,Other,Documentation needed,General IT support request,2025-10-05,,Help Desk,2025-10-05 14:20:31
TKT-000279,Critical,On Hold,Hardware,Hard drive failure,Hardware issue reported by user. Device: Laptop,2025-06-24,,Support Team,2025-06-24 14:20:31
TKT-000280,Medium,Resolved,Security,Firewall configuration,Security concern reported. Impact: Department,2025-12-01,2025-12-31,IT Team,2025-12-01 14:20:31
TKT-000281,Medium,Closed,Server,High CPU usage,Server issue on db-server-03,2025-10-13,2025-11-03,DevOps Team,2025-10-13 14:20:31
TKT-000282,High,On Hold,Hardware,Keyboard malfunction,Hardware issue reported by user. Device: Monitor,2025-09-28,,Help Desk,2025-09-28 14:20:31
TKT-000283,Critical,Closed,Printer,Toner replacement,Printer malfunction in Floor 1,2025-09-08,2025-09-17,DevOps Team,2025-09-08 14:20:31
TKT-000284,Critical,Closed,Server,High CPU usage,Server issue on app-server-02,2025-11-11,2025-11-27,Help Desk,2025-11-11 14:20:31
TKT-000285,High,In Progress,Other,General inquiry,General IT support request,2025-08-26,,Support Team,2025-08-26 14:20:31
TKT-000286,Medium,Closed,Database,Access permission,Database issue affecting production environment,2025-08-05,2025-09-21,Infrastructure Team,2025-08-05 14:20:31
TKT-000287,Low,Open,Software,Update failed,Software problem affecting productivity. Application: Custom App,2025-08-23,,Security Team,2025-08-23 14:20:31
TKT-000288,High,On Hold,Hardware,Mouse not responding,Hardware issue reported by user. Device: Peripheral,2025-10-19,,Help Desk,2025-10-19 14:20:31
TKT-000289,Critical,Resolved,Other,General inquiry,General IT support request,2025-10-06,2025-11-04,Network Team,2025-10-06 14:20:31
TKT-000290,Low,Closed,Hardware,Hard drive failure,Hardware issue reported by user. Device: Peripheral,2025-06-28,2025-07-15,IT Team,2025-06-28 14:20:31
TKT-000291,Low,Closed,Software,Performance issue,Software problem affecting productivity. Application: Office Suite,2025-08-19,2025-08-28,DevOps Team,2025-08-19 14:20:31
TKT-000292,High,Closed,Printer,Print quality issue,Printer malfunction in Reception,2025-08-01,2025-09-17,Infrastructure Team,2025-08-01 14:20:31
TKT-000293,Critical,Resolved,Other,Request for help,General IT support request,2025-10-01,2025-10-03,Database Team,2025-10-01 14:20:31
TKT-000294,Low,In Progress,Access,Permission request,User access issue. Type: New hire,2025-10-19,,Network Team,2025-10-19 14:20:31
TKT-000295,Critical,On Hold,Server,Application deployment,Server issue on web-server-01,2025-09-20,,DevOps Team,2025-09-20 14:20:31
TKT-000296,Critical,Resolved,Other,Feedback,General IT support request,2025-08-03,2025-08-19,DevOps Team,2025-08-03 14:20:31
TKT-000297,Critical,Open,Network,Cannot access shared drive,Network connectivity issue affecting 41 users in Remote,2025-06-16,,Support Team,2025-06-16 14:20:31
TKT-000298,Critical,Closed,Printer,Printer not printing,Printer malfunction in Floor 2,2025-10-07,2025-10-20,Network Team,2025-10-07 14:20:31
TKT-000299,Medium,Open,Software,Performance issue,Software problem affecting productivity. Application: Custom App,2025-12-01,,Security Team,2025-12-01 14:20:31
TKT-000300,Medium,Open,Printer,Print quality issue,Printer malfunction in Floor 2,2025-11-19,,Network Team,2025-11-19 14:20:31
TKT-000301,Low,Resolved,Server,Service not responding,Server issue on web-server-01,2025-08-01,2025-09-22,IT Team,2025-08-01 14:20:31
TKT-000302,Medium,Open,Other,Request for help,General IT support request,2025-11-21,,Network Team,2025-11-21 14:20:31
TKT-000303,Medium,In Progress,Database,Data corruption,Database issue affecting production environment,2025-08-21,,IT Team,2025-08-21 14:20:31
TKT-000304,Low,On Hold,Database,Query performance slow,Database issue affecting production environment,2025-08-16,,IT Team,2025-08-16 14:20:31
TKT-000305,Critical,Closed,Printer,Printer not printing,Printer malfunction in Reception,2025-09-30,2025-10-20,Security Team,2025-09-30 14:20:31
TKT-000306,Critical,On Hold,Database,Query performance slow,Database issue affecting staging environment,2025-08-20,,IT Team,2025-08-20 14:20:31
TKT-000307,Medium,In Progress,Access,Access denied,User access issue. Type: New hire,2025-11-29,,Support Team,2025-11-29 14:20:31
TKT-000308,Low,Closed,Software,License renewal,Software problem affecting productivity. Application: Browser,2025-10-23,2025-12-01,DevOps Team,2025-10-23 14:20:31
TKT-000309,Low,In Progress,Server,Disk space full,Server issue on db-server-03,2025-11-12,,Support Team,2025-11-12 14:20:31
TKT-000310,Critical,On Hold,Database,Database connection error,Database issue affecting production environment,2025-08-17,,DevOps Team,2025-08-17 14:20:31
TKT-000311,Medium,Resolved,Network,Cannot access shared drive,Network connectivity issue affecting 11 users in Building B,2025-06-22,2025-07-21,Network Team,2025-06-22 14:20:31
TKT-000312,Medium,On Hold,Database,Access permission,Database issue affecting development environment,2025-10-02,,Security Team,2025-10-02 14:20:31
TKT-000313,Medium,On Hold,Database,Backup failed,Database issue affecting staging environment,2025-11-25,,Help Desk,2025-11-25 14:20:31
TKT-000314,Critical,Closed,Email,Spam filtering,Email service issue. Mail client: Thunderbird,2025-09-12,2025-10-08,Security Team,2025-09-12 14:20:31
TKT-000315,Critical,Resolved,Other,Feature request,General IT support request,2025-07-28,2025-08-27,IT Team,2025-07-28 14:20:31
TKT-000316,Low,Open,Software,Update failed,Software problem affecting productivity. Application: IDE,2025-11-27,,Support Team,2025-11-27 14:20:31
TKT-000317,High,Closed,Software,Application crash,Software problem affecting productivity. Application: Office Suite,2025-08-23,2025-09-19,Help Desk,2025-08-23 14:20:31
TKT-000318,Critical,On Hold,Email,Email account setup,Email service issue. Mail client: Thunderbird,2025-09-14,,Security Team,2025-09-14 14:20:31
TKT-000319,Critical,Closed,Printer,Paper jam,Printer malfunction in Reception,2025-08-16,2025-08-20,IT Team,2025-08-16 14:20:31
TKT-000320,Critical,Open,Database,Query performance slow,Database issue affecting production environment,2025-08-31,,Network Team,2025-08-31 14:20:31
TKT-000321,Medium,On Hold,Software,License renewal,Software problem affecting productivity. Application: IDE,2025-10-18,,Support Team,2025-10-18 14:20:31
TKT-000322,Critical,Closed,Software,Update failed,Software problem affecting productivity. Application: Custom App,2025-09-24,2025-09-27,IT Team,2025-09-24 14:20:31
TKT-000323,Low,On Hold,Email,Email account setup,Email service issue. Mail client: Outlook,2025-10-14,,Infrastructure Team,2025-10-14 14:20:31
TKT-000324,Critical,On Hold,Security,Firewall configuration,Security concern reported. Impact: Organization-wide,2025-07-08,,Network Team,2025-07-08 14:20:31
TKT-000325,Medium,On Hold,Software,Application crash,Software problem affecting productivity. Application: IDE,2025-06-27,,Infrastructure Team,2025-06-27 14:20:31
TKT-000326,Low,In Progress,Hardware,Laptop not working,Hardware issue reported by user. Device: Laptop,2025-11-08,,Security Team,2025-11-08 14:20:31
TKT-000327,Medium,Closed,Email,Email not syncing,Email service issue. Mail client: Gmail,2025-09-15,2025-11-02,Network Team,2025-09-15 14:20:31
TKT-000328,Medium,In Progress,Software,Application crash,Software problem affecting productivity. Application: Office Suite,2025-10-20,,Network Team,2025-10-20 14:20:31
TKT-000329,Low,Resolved,Email,Email not syncing,Email service issue. Mail client: Outlook,2025-07-16,2025-07-26,Database Team,2025-07-16 14:20:31
TKT-000330,Medium,On Hold,Other,Documentation needed,General IT support request,2025-06-15,,Database Team,2025-06-15 14:20:31
TKT-000331,Medium,Resolved,Printer,Print quality issue,Printer malfunction in Reception,2025-09-16,2025-10-13,Support Team,2025-09-16 14:20:31
TKT-000332,Medium,In Progress,Database,Access permission,Database issue affecting production environment,2025-07-15,,Network Team,2025-07-15 14:20:31
TKT-000333,Medium,Resolved,Hardware,Mouse not responding,Hardware issue reported by user. Device: Laptop,2025-10-08,2025-11-10,DevOps Team,2025-10-08 14:20:31
TKT-000334,High,On Hold,Access,Access denied,User access issue. Type: Role change,2025-07-02,,IT Team,2025-07-02 14:20:31
TKT-000335,Low,On Hold,Printer,Printer not printing,Printer malfunction in Floor 2,2025-10-26,,Help Desk,2025-10-26 14:20:31
TKT-000336,Critical,In Progress,Server,Service not responding,Server issue on db-server-03,2025-07-15,,Network Team,2025-07-15 14:20:31
TKT-000337,Medium,On Hold,Network,Slow internet,Network connectivity issue affecting 9 users in Building A,2025-07-22,,IT Team,2025-07-22 14:20:31
TKT-000338,High,On Hold,Database,Database connection error,Database issue affecting development environment,2025-07-16,,Security Team,2025-07-16 14:20:31
TKT-000339,Critical,On Hold,Printer,Toner replacement,Printer malfunction in Floor 2,2025-06-12,,DevOps Team,2025-06-12 14:20:31
TKT-000340,Low,On Hold,Email,Email not syncing,Email service issue. Mail client: Outlook,2025-08-15,,Network Team,2025-08-15 14:20:31
TKT-000341,Low,On Hold,Server,Application deployment,Server issue on app-server-02,2025-08-22,,IT Team,2025-08-22 14:20:31
TKT-000342,Low,Open,Network,WiFi not working,Network connectivity issue affecting 24 users in Building B,2025-10-26,,Support Team,2025-10-26 14:20:31
TKT-000343,Low,Open,Printer,Paper jam,Printer malfunction in Floor 1,2025-10-05,,Database Team,2025-10-05 14:20:31
TKT-000344,Low,In Progress,Network,VPN connection issues,Network connectivity issue affecting 9 users in Building A,2025-10-28,,Infrastructure Team,2025-10-28 14:20:31
TKT-000345,High,Closed,Hardware,Keyboard malfunction,Hardware issue reported by user. Device: Laptop,2025-09-07,2025-09-22,Support Team,2025-09-07 14:20:31
TKT-000346,Critical,Resolved,Email,Spam filtering,Email service issue. Mail client: Thunderbird,2025-09-22,2025-10-18,Security Team,2025-09-22 14:20:31
TKT-000347,High,On Hold,Printer,Printer not printing,Printer malfunction in Floor 1,2025-07-02,,Infrastructure Team,2025-07-02 14:20:31
TKT-000348,High,In Progress,Security,SSL certificate expired,Security concern reported. Impact: Department,2025-07-12,,IT Team,2025-07-12 14:20:31
TKT-000349,Critical,Closed,Database,Backup failed,Database issue affecting development environment,2025-11-16,2025-11-29,Security Team,2025-11-16 14:20:31
TKT-000350,Low,Resolved,Software,Application crash,Software problem affecting productivity. Application: Browser,2025-09-19,2025-10-14,Network Team,2025-09-19 14:20:31
TKT-000351,Critical,Closed,Network,Cannot access shared drive,Network connectivity issue affecting 13 users in Remote,2025-07-29,2025-08-12,Database Team,2025-07-29 14:20:31
TKT-000352,Medium,Closed,Software,Performance issue,Software problem affecting productivity. Application: Browser,2025-09-17,2025-11-06,Support Team,2025-09-17 14:20:31
TKT-000353,Low,In Progress,Database,Query performance slow,Database issue affecting staging environment,2025-10-01,,Support Team,2025-10-01 14:20:31
TKT-000354,Medium,On Hold,Other,General inquiry,General IT support request,2025-07-16,,Security Team,2025-07-16 14:20:31
TKT-000355,Critical,On Hold,Server,Disk space full,Server issue on app-server-02,2025-10-24,,Network Team,2025-10-24 14:20:31
TKT-000356,Low,Resolved,Database,Backup failed,Database issue affecting production environment,2025-10-08,2025-10-21,Help Desk,2025-10-08 14:20:31
TKT-000357,High,Resolved,Hardware,Mouse not responding,Hardware issue reported by user. Device: Peripheral,2025-06-26,2025-07-07,Help Desk,2025-06-26 14:20:31
TKT-000358,High,Open,Database,Data corruption,Database issue affecting development environment,2025-09-20,,Infrastructure Team,2025-09-20 14:20:31
TKT-000359,Medium,On Hold,Security,Firewall configuration,Security concern reported. Impact: Organization-wide,2025-12-06,,Infrastructure Team,2025-12-06 14:20:31
TKT-000360,High,In Progress,Software,Application crash,Software problem affecting productivity. Application: Office Suite,2025-10-22,,DevOps Team,2025-10-22 14:20:31
TKT-000361,Critical,Open,Hardware,Mouse not responding,Hardware issue reported by user. Device: Laptop,2025-07-15,,Network Team,2025-07-15 14:20:31
TKT-000362,Medium,Closed,Other,General inquiry,General IT support request,2025-07-26,2025-09-06,Security Team,2025-07-26 14:20:31
TKT-000363,Medium,In Progress,Security,SSL certificate expired,Security concern reported. Impact: Department,2025-08-11,,Security Team,2025-08-11 14:20:31
TKT-000364,Medium,On Hold,Security,Virus detected,Security concern reported. Impact: Single user,2025-08-27,,DevOps Team,2025-08-27 14:20:31
TKT-000365,Medium,Resolved,Printer,Print quality issue,Printer malfunction in Floor 2,2025-10-05,2025-10-28,Security Team,2025-10-05 14:20:31
TKT-000366,Medium,Closed,Database,Access permission,Database issue affecting development environment,2025-06-20,2025-08-01,IT Team,2025-06-20 14:20:31
TKT-000367,Low,Closed,Hardware,Laptop not working,Hardware issue reported by user. Device: Desktop,2025-09-06,2025-11-01,Network Team,2025-09-06 14:20:31
TKT-000368,Low,On Hold,Hardware,Hard drive failure,Hardware issue reported by user. Device: Laptop,2025-06-12,,IT Team,2025-06-12 14:20:31
TKT-000369,Critical,Resolved,Security,Virus detected,Security concern reported. Impact: Department,2025-08-13,2025-09-06,IT Team,2025-08-13 14:20:31
TKT-000370,Critical,Open,Network,Network printer offline,Network connectivity issue affecting 10 users in Remote,2025-09-28,,DevOps Team,2025-09-28 14:20:31
TKT-000371,Low,Open,Server,Disk space full,Server issue on db-server-03,2025-10-28,,Security Team,2025-10-28 14:20:31
TKT-000372,Medium,In Progress,Other,Feedback,General IT support request,2025-08-12,,Infrastructure Team,2025-08-12 14:20:31
TKT-000373,Low,Open,Email,Cannot send emails,Email service issue. Mail client: Thunderbird,2025-10-16,,Database Team,2025-10-16 14:20:31
TKT-000374,Medium,Closed,Network,Network printer offline,Network connectivity issue affecting 32 users in Remote,2025-10-05,2025-11-17,Network Team,2025-10-05 14:20:31
TKT-000375,Low,In Progress,Other,Request for help,General IT support request,2025-08-18,,Security Team,2025-08-18 14:20:31
TKT-000376,Low,Resolved,Access,Password reset,User access issue. Type: Contractor,2025-08-24,2025-10-16,Infrastructure Team,2025-08-24 14:20:31
TKT-000377,Low,Closed,Server,Application deployment,Server issue on db-server-03,2025-12-02,2025-12-10,Infrastructure Team,2025-12-02 14:20:31
TKT-000378,High,In Progress,Security,SSL certificate expired,Security concern reported. Impact: Single user,2025-10-08,,Database Team,2025-10-08 14:20:31
TKT-000379,High,Closed,Server,High CPU usage,Server issue on web-server-01,2025-07-30,2025-08-08,Security Team,2025-07-30 14:20:31
TKT-000380,Critical,In Progress,Other,Documentation needed,General IT support request,2025-06-22,,Help Desk,2025-06-22 14:20:31
TKT-000381,Low,In Progress,Email,Spam filtering,Email service issue. Mail client: Gmail,2025-08-03,,Help Desk,2025-08-03 14:20:31
TKT-000382,Critical,In Progress,Security,Virus detected,Security concern reported. Impact: Department,2025-06-27,,Infrastructure Team,2025-06-27 14:20:31
TKT-000383,Medium,Resolved,Security,Security audit,Security concern reported. Impact: Department,2025-07-04,2025-08-26,IT Team,2025-07-04 14:20:31
TKT-000384,Critical,Closed,Server,High CPU usage,Server issue on app-server-02,2025-10-31,2025-11-11,Network Team,2025-10-31 14:20:31
TKT-000385,High,Resolved,Database,Backup failed,Database issue affecting production environment,2025-07-21,2025-09-07,Security Team,2025-07-21 14:20:31
TKT-000386,Low,In Progress,Other,General inquiry,General IT support request,2025-09-14,,Security Team,2025-09-14 14:20:31
TKT-000387,High,Open,Printer,Paper jam,Printer malfunction in Floor 1,2025-11-08,,Database Team,2025-11-08 14:20:31
TKT-000388,Medium,In Progress,Network,Slow internet,Network connectivity issue affecting 15 users in Building B,2025-08-16,,Infrastructure Team,2025-08-16 14:20:31
TKT-000389,High,Closed,Hardware,Monitor flickering,Hardware issue reported by user. Device: Desktop,2025-09-12,2025-10-22,Network Team,2025-09-12 14:20:31
TKT-000390,High,Closed,Network,WiFi not working,Network connectivity issue affecting 34 users in Remote,2025-07-02,2025-08-12,DevOps Team,2025-07-02 14:20:31
TKT-000391,Medium,On Hold,Other,Request for help,General IT support request,2025-06-20,,Network Team,2025-06-20 14:20:31
TKT-000392,Critical,On Hold,Access,Password reset,User access issue. Type: Department transfer,2025-08-01,,Infrastructure Team,2025-08-01 14:20:31
TKT-000393,Critical,On Hold,Other,Documentation needed,General IT support request,2025-10-02,,IT Team,2025-10-02 14:20:31
TKT-000394,Critical,Closed,Software,Software installation request,Software problem affecting productivity. Application: Office Suite,2025-07-19,2025-08-03,Support Team,2025-07-19 14:20:31
TKT-000395,Low,Closed,Software,Performance issue,Software problem affecting productivity. Application: IDE,2025-06-22,2025-07-30,Security Team,2025-06-22 14:20:31
TKT-000396,High,Open,Database,Backup failed,Database issue affecting staging environment,2025-07-23,,DevOps Team,2025-07-23 14:20:31
TKT-000397,High,Closed,Printer,Printer driver needed,Printer malfunction in Reception,2025-06-15,2025-06-27,Security Team,2025-06-15 14:20:31
TKT-000398,Low,Resolved,Security,Firewall configuration,Security concern reported. Impact: Organization-wide,2025-06-26,2025-08-08,DevOps Team,2025-06-26 14:20:31
TKT-000399,Low,In Progress,Printer,Printer driver needed,Printer malfunction in Reception,2025-07-08,,Help Desk,2025-07-08 14:20:31
TKT-000400,Low,Closed,Database,Data corruption,Database issue affecting production environment,2025-06-23,2025-07-07,Infrastructure Team,2025-06-23 14:20:31
TKT-000401,Critical,Resolved,Printer,Paper jam,Printer malfunction in Floor 3,2025-07-31,2025-08-27,Help Desk,2025-07-31 14:20:31
TKT-000402,Critical,Open,Printer,Printer not printing,Printer malfunction in Floor 1,2025-07-18,,Database Team,2025-07-18 14:20:31
TKT-000403,Critical,Open,Other,General inquiry,General IT support request,2025-11-26,,IT Team,2025-11-26 14:20:31
TKT-000404,Low,Open,Security,SSL certificate expired,Security concern reported. Impact: Organization-wide,2025-10-08,,Security Team,2025-10-08 14:20:31
TKT-000405,High,Open,Network,Cannot access shared drive,Network connectivity issue affecting 2 users in Building B,2025-11-21,,Help Desk,2025-11-21 14:20:31
TKT-000406,Medium,In Progress,Security,Suspicious activity,Security concern reported. Impact: Single user,2025-08-09,,Security Team,2025-08-09 14:20:31
TKT-000407,Critical,Resolved,Hardware,Keyboard malfunction,Hardware issue reported by user. Device: Monitor,2025-08-23,2025-09-12,IT Team,2025-08-23 14:20:31
