id,date,incident_type,severity,status,description,reported_by,created_at
249,2024-10-11,Social Engineering,High,Open,Employee reported suspicious email requesting credentials,bob,2024-10-11 09:15:00
250,2023-02-24,SQL Injection,Low,In Progress,SQL injection attempt detected on API endpoint,bob,2023-02-24 11:21:00
251,2023-04-03,Ransomware,High,Resolved,Encryption malware detected - 248 files affected,admin,2023-04-03 20:35:00
252,2024-07-27,Data Breach,Critical,In Progress,Unauthorized data access - 516 records exposed,admin,2024-07-27 12:15:00
253,2023-06-26,Data Breach,Low,Open,Unauthorized data access - 9920 records exposed,bob,2023-06-26 08:47:00
254,2024-05-14,Data Breach,Critical,Closed,Unauthorized data access - 1709 records exposed,emma,2024-05-14 21:02:00
255,2023-07-10,Social Engineering,Critical,Resolved,Employee reported suspicious phone call requesting credentials,alice,2023-07-10 10:16:00
256,2023-02-22,DDoS,High,Open,Distributed denial of service attack on database,charlie,2023-02-22 22:40:00
257,2023-12-24,Social Engineering,High,Open,Employee reported suspicious email requesting credentials,david,2023-12-24 18:24:00
258,2024-03-20,Phishing,Low,Closed,Suspicious email detected targeting IT department,alice,2024-03-20 19:58:00
259,2023-10-09,Data Breach,High,In Progress,Unauthorized data access - 8215 records exposed,bob,2023-10-09 13:22:00
260,2023-02-03,Unauthorized Access,High,In Progress,Failed login attempts from IP 22.11.87.128,david,2023-02-03 09:00:00
261,2023-02-03,Data Breach,Low,Closed,Unauthorized data access - 8923 records exposed,alice,2023-02-03 20:19:00
262,2024-08-07,Malware,High,Closed,Malicious software found on workstation 915,charlie,2024-08-07 17:24:00
263,2023-01-29,DDoS,Critical,Open,Distributed denial of service attack on database,david,2023-01-29 04:05:00
264,2023-12-24,DDoS,Low,Closed,Distributed denial of service attack on database,system,2023-12-24 09:07:00
265,2024-04-17,XSS Attack,Medium,Closed,Cross-site scripting vulnerability exploited in search bar,david,2024-04-17 17:37:00
266,2023-04-17,Unauthorized Access,Medium,Closed,Failed login attempts from IP 216.148.241.178,charlie,2023-04-17 17:04:00
267,2024-04-13,Ransomware,Medium,Open,Encryption malware detected - 235 files affected,alice,2024-04-13 10:53:00
268,2023-07-24,Unauthorized Access,Low,Closed,Failed login attempts from IP 95.30.106.240,alice,2023-07-24 16:54:00
269,2023-10-27,Malware,Low,In Progress,Malicious software found on workstation 925,admin,2023-10-27 20:21:00
270,2023-02-14,Ransomware,Medium,In Progress,Encryption malware detected - 173 files affected,system,2023-02-14 22:35:00
271,2023-07-17,Ransomware,Medium,Open,Encryption malware detected - 73 files affected,david,2023-07-17 18:34:00
272,2023-05-01,Malware,Critical,Open,Malicious software found on workstation 113,admin,2023-05-01 10:26:00
273,2023-11-02,DDoS,Medium,Open,Distributed denial of service attack on database,admin,2023-11-02 18:00:00
274,2023-08-03,Data Breach,Medium,Closed,Unauthorized data access - 9587 records exposed,david,2023-08-03 19:40:00
275,2024-10-30,Ransomware,High,In Progress,Encryption malware detected - 357 files affected,charlie,2024-10-30 09:05:00
276,2023-04-27,DDoS,High,Closed,Distributed denial of service attack on API gateway,alice,2023-04-27 00:15:00
277,2023-08-04,Brute Force,Medium,Open,Multiple password attempts detected - 104 attempts in 51 minutes,emma,2023-08-04 18:14:00
278,2023-08-20,Malware,Medium,Open,Malicious software found on workstation 821,emma,2023-08-20 14:03:00
279,2023-08-21,Unauthorized Access,Low,Closed,Failed login attempts from IP 9.168.19.147,charlie,2023-08-21 18:58:00
280,2024-09-18,Brute Force,Medium,Resolved,Multiple password attempts detected - 79 attempts in 11 minutes,system,2024-09-18 00:25:00
281,2024-05-10,Social Engineering,Critical,Resolved,Employee reported suspicious text message requesting credentials,bob,2024-05-10 17:55:00
282,2024-02-06,XSS Attack,Low,Closed,Cross-site scripting vulnerability exploited in search bar,bob,2024-02-06 08:42:00
283,2023-03-05,Brute Force,Critical,Closed,Multiple password attempts detected - 427 attempts in 60 minutes,charlie,2023-03-05 05:50:00
284,2023-12-16,XSS Attack,Medium,Closed,Cross-site scripting vulnerability exploited in search bar,alice,2023-12-16 21:35:00
285,2023-03-12,Phishing,Low,Resolved,Suspicious email detected targeting HR department,charlie,2023-03-12 13:59:00
286,2023-05-01,XSS Attack,High,Closed,Cross-site scripting vulnerability exploited in search bar,emma,2023-05-01 10:04:00
287,2024-05-19,Ransomware,Low,Resolved,Encryption malware detected - 292 files affected,bob,2024-05-19 18:22:00
288,2023-07-06,DDoS,Critical,Closed,Distributed denial of service attack on web server,admin,2023-07-06 17:34:00
289,2023-04-24,XSS Attack,Medium,Closed,Cross-site scripting vulnerability exploited in comment section,charlie,2023-04-24 18:32:00
290,2024-10-21,Malware,High,Open,Malicious software found on workstation 852,admin,2024-10-21 05:18:00
291,2023-03-09,Social Engineering,Low,Open,Employee reported suspicious phone call requesting credentials,charlie,2023-03-09 01:31:00
292,2024-09-16,Ransomware,High,Resolved,Encryption malware detected - 97 files affected,alice,2024-09-16 22:54:00
293,2023-07-24,Data Breach,Low,Open,Unauthorized data access - 4115 records exposed,admin,2023-07-24 22:34:00
294,2024-11-23,XSS Attack,Medium,Closed,Cross-site scripting vulnerability exploited in user profile,alice,2024-11-23 16:56:00
295,2024-04-17,Brute Force,Low,Closed,Multiple password attempts detected - 401 attempts in 46 minutes,system,2024-04-17 06:30:00
296,2024-10-06,DDoS,High,Closed,Distributed denial of service attack on web server,charlie,2024-10-06 14:42:00
297,2023-09-24,Ransomware,Low,In Progress,Encryption malware detected - 376 files affected,admin,2023-09-24 13:38:00
298,2023-08-03,SQL Injection,Low,Closed,SQL injection attempt detected on search form,emma,2023-08-03 09:32:00
299,2024-03-08,Malware,High,Open,Malicious software found on workstation 355,admin,2024-03-08 00:04:00
300,2023-09-24,SQL Injection,High,Closed,SQL injection attempt detected on API endpoint,system,2023-09-24 08:15:00
301,2024-09-02,DDoS,Low,In Progress,Distributed denial of service attack on database,david,2024-09-02 04:48:00
302,2024-02-29,Social Engineering,High,Resolved,Employee reported suspicious email requesting credentials,emma,2024-02-29 10:43:00
303,2023-10-21,Malware,Medium,In Progress,Malicious software found on workstation 890,david,2023-10-21 01:33:00
304,2023-07-17,Unauthorized Access,Medium,In Progress,Failed login attempts from IP 69.251.71.206,david,2023-07-17 18:59:00
305,2024-04-06,Unauthorized Access,Low,In Progress,Failed login attempts from IP 58.156.29.198,charlie,2024-04-06 17:14:00
306,2023-12-09,DDoS,High,Open,Distributed denial of service attack on database,system,2023-12-09 20:05:00
307,2023-10-16,Phishing,Medium,Resolved,Suspicious email detected targeting IT department,david,2023-10-16 06:02:00
308,2023-12-06,Unauthorized Access,High,Closed,Failed login attempts from IP 26.67.243.65,alice,2023-12-06 03:34:00
309,2023-05-30,Brute Force,Low,In Progress,Multiple password attempts detected - 286 attempts in 10 minutes,admin,2023-05-30 10:53:00
310,2023-12-03,Phishing,Critical,In Progress,Suspicious email detected targeting HR department,system,2023-12-03 00:41:00
311,2023-09-04,Social Engineering,Medium,Open,Employee reported suspicious email requesting credentials,system,2023-09-04 10:15:00
312,2023-04-29,Brute Force,Low,Resolved,Multiple password attempts detected - 390 attempts in 18 minutes,admin,2023-04-29 06:12:00
313,2023-06-04,DDoS,High,In Progress,Distributed denial of service attack on web server,emma,2023-06-04 23:40:00
314,2024-05-28,Phishing,Medium,Open,Suspicious email detected targeting IT department,system,2024-05-28 16:38:00
315,2023-06-25,SQL Injection,High,In Progress,SQL injection attempt detected on API endpoint,system,2023-06-25 02:08:00
316,2023-03-08,XSS Attack,Low,Closed,Cross-site scripting vulnerability exploited in search bar,bob,2023-03-08 20:47:00
317,2023-10-13,Data Breach,Medium,Closed,Unauthorized data access - 2368 records exposed,david,2023-10-13 14:59:00
318,2024-04-12,DDoS,Low,Resolved,Distributed denial of service attack on API gateway,admin,2024-04-12 05:46:00
319,2023-12-15,Malware,High,Open,Malicious software found on workstation 270,david,2023-12-15 17:46:00
320,2023-09-08,Social Engineering,High,In Progress,Employee reported suspicious phone call requesting credentials,david,2023-09-08 01:06:00
321,2023-01-04,Phishing,Critical,In Progress,Suspicious email detected targeting HR department,bob,2023-01-04 05:59:00
322,2024-03-04,Ransomware,High,Open,Encryption malware detected - 220 files affected,bob,2024-03-04 12:52:00
323,2023-04-30,Social Engineering,Critical,Open,Employee reported suspicious email requesting credentials,admin,2023-04-30 12:37:00
324,2024-04-25,Phishing,Critical,Open,Suspicious email detected targeting IT department,bob,2024-04-25 21:45:00
325,2024-09-19,Unauthorized Access,Medium,In Progress,Failed login attempts from IP 220.135.139.135,bob,2024-09-19 02:48:00
326,2023-08-04,DDoS,High,Closed,Distributed denial of service attack on API gateway,admin,2023-08-04 05:34:00
327,2023-11-08,SQL Injection,Low,Open,SQL injection attempt detected on login page,system,2023-11-08 01:25:00
328,2024-10-29,Phishing,High,Closed,Suspicious email detected targeting IT department,admin,2024-10-29 16:15:00
329,2024-10-13,Phishing,Low,Closed,Suspicious email detected targeting IT department,charlie,2024-10-13 06:08:00
330,2023-12-11,Phishing,Critical,Open,Suspicious email detected targeting finance department,bob,2023-12-11 20:40:00
331,2024-08-05,Unauthorized Access,High,Resolved,Failed login attempts from IP 213.62.109.54,alice,2024-08-05 23:02:00
332,2023-03-16,Phishing,Critical,In Progress,Suspicious email detected targeting IT department,emma,2023-03-16 22:03:00
333,2024-07-08,Unauthorized Access,Critical,In Progress,Failed login attempts from IP 29.249.169.126,admin,2024-07-08 03:03:00
334,2024-03-21,SQL Injection,Medium,Resolved,SQL injection attempt detected on API endpoint,alice,2024-03-21 06:41:00
335,2023-02-17,Phishing,High,Closed,Suspicious email detected targeting HR department,system,2023-02-17 17:05:00
336,2023-12-09,SQL Injection,Critical,Open,SQL injection attempt detected on search form,system,2023-12-09 01:00:00
337,2024-07-10,DDoS,Medium,Resolved,Distributed denial of service attack on API gateway,bob,2024-07-10 14:35:00
338,2024-07-28,Malware,Medium,Resolved,Malicious software found on workstation 440,system,2024-07-28 20:02:00
339,2023-05-25,Unauthorized Access,Low,Open,Failed login attempts from IP 154.88.143.106,david,2023-05-25 04:45:00
340,2024-08-15,Data Breach,Medium,Open,Unauthorized data access - 5474 records exposed,admin,2024-08-15 12:48:00
341,2023-05-17,SQL Injection,Low,Closed,SQL injection attempt detected on login page,charlie,2023-05-17 04:34:00
342,2023-10-15,Ransomware,Low,In Progress,Encryption malware detected - 100 files affected,bob,2023-10-15 06:23:00
343,2023-11-03,Social Engineering,High,Resolved,Employee reported suspicious phone call requesting credentials,bob,2023-11-03 18:28:00
344,2024-07-01,XSS Attack,High,Resolved,Cross-site scripting vulnerability exploited in search bar,system,2024-07-01 21:15:00
345,2023-10-17,XSS Attack,Critical,Closed,Cross-site scripting vulnerability exploited in search bar,admin,2023-10-17 21:03:00
346,2023-04-08,Brute Force,Critical,Open,Multiple password attempts detected - 143 attempts in 18 minutes,admin,2023-04-08 20:29:00
347,2023-07-01,DDoS,Critical,Open,Distributed denial of service attack on database,system,2023-07-01 09:41:00
348,2023-04-19,Brute Force,High,In Progress,Multiple password attempts detected - 412 attempts in 19 minutes,bob,2023-04-19 04:19:00
349,2024-04-17,Social Engineering,Medium,Resolved,Employee reported suspicious text message requesting credentials,bob,2024-04-17 09:08:00
350,2024-11-26,Social Engineering,Medium,In Progress,Employee reported suspicious email requesting credentials,alice,2024-11-26 15:38:00
351,2023-07-25,Social Engineering,Low,Resolved,Employee reported suspicious text message requesting credentials,admin,2023-07-25 02:48:00
352,2023-12-04,XSS Attack,Medium,Resolved,Cross-site scripting vulnerability exploited in comment section,bob,2023-12-04 13:44:00
353,2024-08-05,Data Breach,Critical,Closed,Unauthorized data access - 3874 records exposed,emma,2024-08-05 01:13:00
354,2024-04-19,Brute Force,Critical,Closed,Multiple password attempts detected - 423 attempts in 60 minutes,charlie,2024-04-19 18:53:00
355,2023-05-28,Data Breach,Critical,Closed,Unauthorized data access - 3668 records exposed,system,2023-05-28 05:47:00
356,2023-05-04,Phishing,High,Resolved,Suspicious email detected targeting HR department,bob,2023-05-04 15:02:00
357,2024-08-15,XSS Attack,High,Resolved,Cross-site scripting vulnerability exploited in user profile,alice,2024-08-15 00:10:00
358,2023-02-10,SQL Injection,Critical,In Progress,SQL injection attempt detected on search form,alice,2023-02-10 09:46:00
359,2023-07-11,XSS Attack,Low,Resolved,Cross-site scripting vulnerability exploited in user profile,alice,2023-07-11 17:26:00
360,2024-11-20,DDoS,Low,Closed,Distributed denial of service attack on web server,system,2024-11-20 06:47:00
361,2024-09-11,Ransomware,Critical,In Progress,Encryption malware detected - 314 files affected,alice,2024-09-11 20:27:00
362,2023-09-13,XSS Attack,Critical,Resolved,Cross-site scripting vulnerability exploited in user profile,admin,2023-09-13 17:28:00
363,2023-01-01,Brute Force,High,Resolved,Multiple password attempts detected - 388 attempts in 4 minutes,alice,2023-01-01 13:00:00
364,2023-01-14,Phishing,High,Resolved,Suspicious email detected targeting HR department,emma,2023-01-14 00:48:00
365,2024-03-22,Brute Force,High,Open,Multiple password attempts detected - 83 attempts in 3 minutes,bob,2024-03-22 07:16:00
366,2023-10-17,Phishing,High,Resolved,Suspicious email detected targeting finance department,alice,2023-10-17 11:24:00
367,2024-05-22,Social Engineering,Critical,In Progress,Employee reported suspicious phone call requesting credentials,emma,2024-05-22 16:40:00
368,2023-09-30,Malware,Medium,Resolved,Malicious software found on workstation 256,system,2023-09-30 06:50:00
369,2023-06-23,Unauthorized Access,High,Open,Failed login attempts from IP 212.220.33.233,bob,2023-06-23 01:55:00
370,2023-03-20,Brute Force,High,Closed,Multiple password attempts detected - 462 attempts in 10 minutes,charlie,2023-03-20 06:02:00
371,2024-09-12,Unauthorized Access,Critical,Closed,Failed login attempts from IP 253.123.25.200,system,2024-09-12 02:51:00
372,2023-06-11,Malware,Low,Open,Malicious software found on workstation 221,david,2023-06-11 04:36:00
373,2023-06-17,DDoS,High,Resolved,Distributed denial of service attack on web server,bob,2023-06-17 21:09:00
374,2023-03-03,SQL Injection,Critical,In Progress,SQL injection attempt detected on search form,charlie,2023-03-03 01:43:00
375,2023-09-18,XSS Attack,Low,Closed,Cross-site scripting vulnerability exploited in comment section,charlie,2023-09-18 23:48:00
376,2023-09-20,Data Breach,Medium,Closed,Unauthorized data access - 2181 records exposed,charlie,2023-09-20 20:09:00
377,2024-04-02,Ransomware,Low,Resolved,Encryption malware detected - 67 files affected,bob,2024-04-02 08:36:00
378,2024-01-27,DDoS,Critical,Open,Distributed denial of service attack on API gateway,emma,2024-01-27 13:46:00
379,2024-01-06,SQL Injection,High,Resolved,SQL injection attempt detected on login page,admin,2024-01-06 09:29:00
380,2023-01-25,XSS Attack,Medium,Open,Cross-site scripting vulnerability exploited in search bar,david,2023-01-25 14:54:00
381,2024-06-24,Unauthorized Access,Critical,In Progress,Failed login attempts from IP 158.210.111.136,alice,2024-06-24 21:27:00
382,2024-01-12,Data Breach,Medium,In Progress,Unauthorized data access - 9744 records exposed,alice,2024-01-12 15:21:00
383,2023-02-15,Data Breach,High,Open,Unauthorized data access - 5221 records exposed,david,2023-02-15 10:00:00
384,2023-07-02,Malware,Low,In Progress,Malicious software found on workstation 672,bob,2023-07-02 14:35:00
385,2023-12-21,Social Engineering,Low,Open,Employee reported suspicious text message requesting credentials,admin,2023-12-21 17:00:00
386,2023-11-10,Data Breach,Critical,Closed,Unauthorized data access - 8309 records exposed,alice,2023-11-10 23:17:00
387,2024-09-16,Phishing,Critical,Open,Suspicious email detected targeting HR department,emma,2024-09-16 06:26:00
388,2023-05-31,Phishing,Medium,Resolved,Suspicious email detected targeting finance department,admin,2023-05-31 20:29:00
389,2023-12-28,Phishing,Critical,Closed,Suspicious email detected targeting IT department,emma,2023-12-28 06:33:00
390,2024-09-11,Ransomware,High,In Progress,Encryption malware detected - 91 files affected,alice,2024-09-11 04:09:00
391,2023-01-14,DDoS,Critical,Closed,Distributed denial of service attack on web server,alice,2023-01-14 14:15:00
392,2023-07-02,Ransomware,High,In Progress,Encryption malware detected - 295 files affected,admin,2023-07-02 17:25:00
393,2023-05-14,DDoS,High,Resolved,Distributed denial of service attack on API gateway,bob,2023-05-14 23:32:00
394,2023-10-02,Brute Force,Medium,Resolved,Multiple password attempts detected - 274 attempts in 13 minutes,david,2023-10-02 03:26:00
395,2024-10-20,Ransomware,High,Open,Encryption malware detected - 413 files affected,bob,2024-10-20 01:17:00
396,2024-09-18,SQL Injection,Medium,In Progress,SQL injection attempt detected on API endpoint,admin,2024-09-18 12:42:00
397,2024-09-13,Malware,Critical,Resolved,Malicious software found on workstation 817,charlie,2024-09-13 08:43:00
398,2023-01-17,SQL Injection,Low,Resolved,SQL injection attempt detected on search form,system,2023-01-17 22:28:00
399,2024-03-06,Malware,High,Open,Malicious software found on workstation 921,david,2024-03-06 11:54:00
400,2023-06-20,DDoS,Medium,Resolved,Distributed denial of service attack on API gateway,charlie,2023-06-20 10:34:00
401,2024-06-21,Ransomware,Medium,In Progress,Encryption malware detected - 299 files affected,emma,2024-06-21 00:59:00
402,2023-02-07,DDoS,Medium,In Progress,Distributed denial of service attack on web server,admin,2023-02-07 16:46:00
403,2024-01-28,Ransomware,Critical,In Progress,Encryption malware detected - 269 files affected,alice,2024-01-28 02:54:00
404,2023-12-18,XSS Attack,Low,In Progress,Cross-site scripting vulnerability exploited in comment section,charlie,2023-12-18 23:19:00
405,2024-08-04,XSS Attack,High,Open,Cross-site scripting vulnerability exploited in user profile,alice,2024-08-04 22:32:00
406,2024-11-21,SQL Injection,High,In Progress,SQL injection attempt detected on search form,system,2024-11-21 04:51:00
407,2023-02-17,Social Engineering,High,In Progress,Employee reported suspicious text message requesting credentials,system,2023-02-17 10:54:00
408,2024-03-24,XSS Attack,High,Open,Cross-site scripting vulnerability exploited in search bar,admin,2024-03-24 12:09:00
409,2024-07-10,Unauthorized Access,Critical,Closed,Failed login attempts from IP 73.65.83.244,charlie,2024-07-10 10:48:00
410,2023-08-13,Malware,Critical,Open,Malicious software found on workstation 947,david,2023-08-13 03:04:00
411,2024-07-18,Social Engineering,Medium,In Progress,Employee reported suspicious text message requesting credentials,system,2024-07-18 23:17:00
412,2023-08-19,Unauthorized Access,Medium,Resolved,Failed login attempts from IP 114.44.27.248,admin,2023-08-19 23:23:00
413,2023-08-29,DDoS,High,Closed,Distributed denial of service attack on API gateway,emma,2023-08-29 09:55:00
414,2023-07-12,Phishing,Critical,Resolved,Suspicious email detected targeting HR department,charlie,2023-07-12 01:40:00
415,2024-03-29,Phishing,High,Closed,Suspicious email detected targeting finance department,alice,2024-03-29 15:43:00
416,2024-08-17,Malware,Medium,In Progress,Malicious software found on workstation 942,bob,2024-08-17 07:15:00
417,2024-02-29,DDoS,Critical,Open,Distributed denial of service attack on database,system,2024-02-29 18:04:00
418,2024-03-10,Ransomware,High,Resolved,Encryption malware detected - 241 files affected,charlie,2024-03-10 13:18:00
419,2024-05-29,Unauthorized Access,Critical,In Progress,Failed login attempts from IP 17.178.8.63,charlie,2024-05-29 19:47:00
420,2024-11-10,DDoS,Low,Open,Distributed denial of service attack on API gateway,admin,2024-11-10 10:16:00
421,2024-09-01,Phishing,Low,In Progress,Suspicious email detected targeting finance department,alice,2024-09-01 06:13:00
422,2023-08-08,SQL Injection,Critical,Resolved,SQL injection attempt detected on search form,system,2023-08-08 16:06:00
423,2023-03-19,Brute Force,High,Resolved,Multiple password attempts detected - 322 attempts in 1 minutes,admin,2023-03-19 02:30:00
424,2024-06-16,SQL Injection,High,In Progress,SQL injection attempt detected on login page,emma,2024-06-16 16:27:00
425,2023-09-08,Malware,High,In Progress,Malicious software found on workstation 168,charlie,2023-09-08 20:48:00
426,2023-10-13,Unauthorized Access,Low,In Progress,Failed login attempts from IP 105.119.154.14,admin,2023-10-13 21:51:00
427,2024-03-14,Ransomware,Medium,Resolved,Encryption malware detected - 409 files affected,david,2024-03-14 19:55:00
428,2024-01-19,XSS Attack,Medium,Closed,Cross-site scripting vulnerability exploited in comment section,emma,2024-01-19 18:06:00
429,2023-10-21,Unauthorized Access,Low,Closed,Failed login attempts from IP 209.150.54.182,alice,2023-10-21 11:34:00
430,2023-08-12,Ransomware,High,In Progress,Encryption malware detected - 125 files affected,system,2023-08-12 15:16:00
431,2023-06-28,Data Breach,Medium,Closed,Unauthorized data access - 2077 records exposed,charlie,2023-06-28 20:20:00
432,2023-05-26,Ransomware,Critical,In Progress,Encryption malware detected - 92 files affected,charlie,2023-05-26 01:12:00
433,2023-12-02,SQL Injection,Critical,In Progress,SQL injection attempt detected on API endpoint,system,2023-12-02 10:55:00
434,2023-08-31,Social Engineering,Low,In Progress,Employee reported suspicious email requesting credentials,emma,2023-08-31 07:11:00
435,2023-12-11,Malware,Low,Closed,Malicious software found on workstation 175,emma,2023-12-11 23:10:00
436,2024-09-17,Ransomware,Critical,Resolved,Encryption malware detected - 18 files affected,admin,2024-09-17 18:29:00
437,2023-04-17,Ransomware,Medium,Resolved,Encryption malware detected - 366 files affected,bob,2023-04-17 00:17:00
438,2023-05-30,Data Breach,Low,Open,Unauthorized data access - 6197 records exposed,system,2023-05-30 16:37:00
439,2023-06-17,Social Engineering,Medium,Open,Employee reported suspicious phone call requesting credentials,charlie,2023-06-17 08:08:00
440,2024-03-26,DDoS,Medium,In Progress,Distributed denial of service attack on database,charlie,2024-03-26 17:55:00
441,2024-04-07,Social Engineering,Critical,Resolved,Employee reported suspicious phone call requesting credentials,david,2024-04-07 11:19:00
442,2024-11-02,DDoS,Critical,Open,Distributed denial of service attack on web server,emma,2024-11-02 15:23:00
443,2023-05-19,Phishing,Critical,Closed,Suspicious email detected targeting HR department,emma,2023-05-19 15:01:00
444,2024-07-15,Ransomware,High,Closed,Encryption malware detected - 36 files affected,charlie,2024-07-15 06:35:00
445,2023-06-15,XSS Attack,Critical,Open,Cross-site scripting vulnerability exploited in comment section,admin,2023-06-15 07:16:00
446,2023-11-25,DDoS,Critical,Closed,Distributed denial of service attack on API gateway,bob,2023-11-25 07:26:00
447,2023-04-27,Phishing,Medium,Closed,Suspicious email detected targeting HR department,bob,2023-04-27 19:19:00
448,2024-09-03,XSS Attack,Low,In Progress,Cross-site scripting vulnerability exploited in comment section,david,2024-09-03 20:48:00
449,2024-10-26,Social Engineering,Medium,Resolved,Employee reported suspicious phone call requesting credentials,alice,2024-10-26 13:46:00
450,2023-07-23,Social Engineering,Medium,Open,Employee reported suspicious email requesting credentials,admin,2023-07-23 17:26:00
451,2024-10-03,DDoS,High,Closed,Distributed denial of service attack on API gateway,admin,2024-10-03 04:10:00
452,2023-10-18,Malware,Medium,In Progress,Malicious software found on workstation 402,system,2023-10-18 02:16:00
453,2024-03-11,DDoS,Critical,In Progress,Distributed denial of service attack on database,system,2024-03-11 05:31:00
454,2024-01-11,Data Breach,Medium,Resolved,Unauthorized data access - 833 records exposed,emma,2024-01-11 00:02:00
455,2024-05-12,XSS Attack,High,Closed,Cross-site scripting vulnerability exploited in search bar,charlie,2024-05-12 17:22:00
456,2023-10-14,DDoS,Critical,Closed,Distributed denial of service attack on database,charlie,2023-10-14 15:42:00
457,2024-08-01,Unauthorized Access,High,Resolved,Failed login attempts from IP 79.111.9.132,system,2024-08-01 05:12:00
458,2024-02-24,XSS Attack,Critical,Closed,Cross-site scripting vulnerability exploited in search bar,charlie,2024-02-24 05:32:00
459,2024-09-16,DDoS,High,Closed,Distributed denial of service attack on API gateway,admin,2024-09-16 07:24:00
460,2023-11-22,Phishing,High,Open,Suspicious email detected targeting HR department,bob,2023-11-22 02:33:00
461,2023-02-23,Ransomware,Medium,In Progress,Encryption malware detected - 137 files affected,charlie,2023-02-23 21:17:00
462,2024-08-18,Phishing,Critical,Closed,Suspicious email detected targeting HR department,alice,2024-08-18 22:26:00
463,2024-09-28,Data Breach,Low,Open,Unauthorized data access - 7921 records exposed,alice,2024-09-28 13:28:00
464,2023-03-19,Brute Force,High,In Progress,Multiple password attempts detected - 50 attempts in 18 minutes,alice,2023-03-19 17:08:00
465,2024-09-30,Social Engineering,Low,Open,Employee reported suspicious text message requesting credentials,charlie,2024-09-30 16:58:00
466,2023-11-20,Brute Force,High,Closed,Multiple password attempts detected - 311 attempts in 50 minutes,emma,2023-11-20 04:59:00
467,2023-01-25,Malware,Critical,Closed,Malicious software found on workstation 903,david,2023-01-25 00:36:00
468,2023-06-16,DDoS,Low,Closed,Distributed denial of service attack on API gateway,charlie,2023-06-16 03:41:00
469,2024-12-01,Ransomware,Low,In Progress,Encryption malware detected - 53 files affected,emma,2024-12-01 07:40:00
470,2024-09-01,Malware,Low,Open,Malicious software found on workstation 919,charlie,2024-09-01 15:24:00
471,2023-03-28,XSS Attack,Low,Open,Cross-site scripting vulnerability exploited in comment section,david,2023-03-28 14:07:00
472,2023-11-20,Unauthorized Access,Low,In Progress,Failed login attempts from IP 192.176.23.115,system,2023-11-20 09:41:00
473,2023-11-18,Ransomware,High,Closed,Encryption malware detected - 105 files affected,system,2023-11-18 23:00:00
474,2024-01-21,Social Engineering,Medium,In Progress,Employee reported suspicious email requesting credentials,emma,2024-01-21 18:19:00
475,2024-05-09,SQL Injection,Medium,Resolved,SQL injection attempt detected on API endpoint,david,2024-05-09 10:52:00
476,2023-11-08,Data Breach,High,Resolved,Unauthorized data access - 7239 records exposed,system,2023-11-08 12:26:00
477,2024-02-21,SQL Injection,Low,Open,SQL injection attempt detected on search form,emma,2024-02-21 04:35:00
478,2023-01-16,Brute Force,Low,In Progress,Multiple password attempts detected - 159 attempts in 12 minutes,charlie,2023-01-16 18:15:00
479,2023-06-23,SQL Injection,Critical,Resolved,SQL injection attempt detected on login page,system,2023-06-23 13:47:00
480,2024-08-27,Social Engineering,Medium,Open,Employee reported suspicious text message requesting credentials,alice,2024-08-27 08:40:00
481,2023-03-17,DDoS,High,Open,Distributed denial of service attack on database,alice,2023-03-17 03:35:00
482,2024-04-16,Brute Force,Critical,In Progress,Multiple password attempts detected - 352 attempts in 21 minutes,charlie,2024-04-16 07:48:00
483,2024-11-07,Malware,Low,Open,Malicious software found on workstation 111,charlie,2024-11-07 13:13:00
484,2024-11-12,SQL Injection,Low,Resolved,SQL injection attempt detected on login page,charlie,2024-11-12 23:38:00
485,2024-02-15,Malware,Medium,Resolved,Malicious software found on workstation 267,charlie,2024-02-15 05:20:00
486,2024-02-16,Brute Force,Critical,Resolved,Multiple password attempts detected - 337 attempts in 42 minutes,david,2024-02-16 20:00:00
487,2024-01-28,Phishing,High,In Progress,Suspicious email detected targeting HR department,david,2024-01-28 18:06:00
488,2023-12-19,SQL Injection,High,Resolved,SQL injection attempt detected on login page,bob,2023-12-19 15:12:00
489,2024-03-20,SQL Injection,Critical,In Progress,SQL injection attempt detected on login page,system,2024-03-20 17:56:00
490,2023-10-15,XSS Attack,Low,Closed,Cross-site scripting vulnerability exploited in user profile,charlie,2023-10-15 15:49:00
491,2023-11-18,Ransomware,Critical,Open,Encryption malware detected - 315 files affected,david,2023-11-18 17:06:00
492,2024-06-24,Brute Force,Critical,Open,Multiple password attempts detected - 368 attempts in 34 minutes,emma,2024-06-24 14:54:00
493,2023-01-23,SQL Injection,High,Open,SQL injection attempt detected on API endpoint,emma,2023-01-23 21:14:00
494,2023-04-19,Phishing,Low,In Progress,Suspicious email detected targeting finance department,charlie,2023-04-19 21:27:00
495,2023-06-02,Malware,High,In Progress,Malicious software found on workstation 874,alice,2023-06-02 01:25:00
496,2024-07-26,Ransomware,Medium,Closed,Encryption malware detected - 211 files affected,admin,2024-07-26 13:36:00
497,2023-12-17,Malware,High,Open,Malicious software found on workstation 316,bob,2023-12-17 03:39:00
498,2023-01-28,Ransomware,High,In Progress,Encryption malware detected - 86 files affected,admin,2023-01-28 03:22:00
499,2023-03-13,Data Breach,Low,Open,Unauthorized data access - 1995 records exposed,bob,2023-03-13 13:32:00
