id,dataset_name,category,source,last_update,record_count,file_size_mb,created_at
268,Production Metrics 2024,Manufacturing,Internal,2025-05-10,309059,47.32,2024-11-19 14:20:31
269,User Purchase History 2020,E-commerce,Google Dataset Search,2025-03-30,6995601,6490.39,2024-03-13 14:20:31
270,Trending Topics 2024,Social Media,AWS Open Data,2024-12-25,46412,13.58,2024-10-16 14:20:31
271,Clinical Trials 2022,Healthcare,GitHub,2025-04-03,39468,37.51,2023-05-16 14:20:31
272,Social Media Engagement 2021,Marketing,Company Database,2025-01-26,129055,91.0,2023-12-23 14:20:31
273,Smart Home Data 2023,IoT,Kaggle,2025-07-09,238549,227.81,2024-07-28 14:20:31
274,User Purchase History 2024,E-commerce,Company Database,2025-10-22,1955,1.3,2025-01-10 14:20:31
275,Vehicle Telemetry 2022,IoT,UCI ML Repository,2025-06-26,67212,13.74,2024-09-03 14:20:31
276,Equipment Maintenance 2024,Manufacturing,Google Dataset Search,2025-08-17,960396,278.25,2024-02-20 14:20:31
277,Graduation Rates 2024,Education,AWS Open Data,2025-07-19,3064,1.18,2024-05-26 14:20:31
278,Course Enrollment 2020,Education,AWS Open Data,2025-04-16,95074,17.63,2024-08-15 14:20:31
279,Traffic Patterns 2020,Transportation,Web Scraping,2025-05-09,4281885,1784.66,2024-04-04 14:20:31
280,Environmental Monitoring 2023,IoT,UCI ML Repository,2025-09-24,11523,10.52,2023-10-28 14:20:31
281,Equipment Maintenance 2022,Manufacturing,UCI ML Repository,2025-08-26,8120712,2858.45,2025-02-24 14:20:31
282,Traffic Patterns 2023,Transportation,Web Scraping,2025-01-09,47096,11.83,2024-01-06 14:20:31
283,Course Enrollment 2023,Education,Data.gov,2025-11-13,89664,78.86,2025-10-03 14:20:31
284,Email Marketing Metrics 2022,Marketing,Web Scraping,2025-02-01,72386,62.88,2023-09-28 14:20:31
285,Flight Schedules 2022,Transportation,UCI ML Repository,2025-02-25,969410,646.93,2024-08-13 14:20:31
286,Traffic Patterns 2021,Transportation,AWS Open Data,2025-03-23,411077,249.83,2025-02-05 14:20:31
287,Supply Chain 2023,Manufacturing,Data.gov,2025-03-03,28449,15.2,2023-04-11 14:20:31
288,Shipping Routes 2021,Transportation,Company Database,2025-03-11,5558804,3593.57,2024-05-01 14:20:31
289,Patient Records 2023,Healthcare,Google Dataset Search,2025-06-16,51775,17.72,2024-10-20 14:20:31
290,Traffic Patterns 2023,Transportation,API Collection,2025-03-23,76857,64.75,2024-11-30 14:20:31
291,Learning Analytics 2021,Education,Google Dataset Search,2025-08-23,51491,45.97,2024-09-16 14:20:31
292,Drug Interactions 2020,Healthcare,Kaggle,2025-08-05,5562,1.57,2024-01-24 14:20:31
293,Customer Behavior Analysis 2020,Marketing,Google Dataset Search,2025-01-31,8667,3.61,2023-12-08 14:20:31
294,Sentiment Analysis 2024,Social Media,AWS Open Data,2024-12-15,383146,98.32,2024-03-16 14:20:31
295,Product Reviews 2021,E-commerce,Web Scraping,2025-01-03,722963,344.53,2023-05-27 14:20:31
296,Student Performance 2024,Education,GitHub,2024-12-27,184714,53.95,2023-08-21 14:20:31
297,Patient Records 2023,Healthcare,Web Scraping,2025-02-09,912098,694.64,2024-01-28 14:20:31
298,Public Transit Usage 2022,Transportation,API Collection,2025-01-06,865970,683.65,2024-10-04 14:20:31
299,Social Media Engagement 2023,Marketing,Google Dataset Search,2025-12-03,1390806,574.84,2025-04-01 14:20:31
300,Trending Topics 2022,Social Media,AWS Open Data,2025-06-21,100155,19.21,2023-09-17 14:20:31
301,Campaign Performance 2022,Marketing,Internal,2025-09-23,8408,3.86,2024-03-06 14:20:31
302,Shipping Routes 2024,Transportation,Internal,2025-02-13,5960626,3542.78,2024-03-01 14:20:31
303,Product Catalog 2022,E-commerce,Kaggle,2025-10-20,90656,82.68,2024-07-02 14:20:31
304,Social Media Engagement 2021,Marketing,Company Database,2025-02-01,623833,328.72,2023-11-18 14:20:31
305,Quality Control 2022,Manufacturing,Company Database,2025-06-25,2802085,1760.45,2023-10-28 14:20:31
306,Equipment Maintenance 2024,Manufacturing,API Collection,2025-11-18,8729,5.35,2025-09-23 14:20:31
307,Drug Interactions 2022,Healthcare,Internal,2024-12-26,79418,74.02,2023-01-02 14:20:31
308,Email Marketing Metrics 2023,Marketing,Data.gov,2025-11-25,8246194,7918.53,2024-01-13 14:20:31
309,Quality Control 2023,Manufacturing,Company Database,2025-08-12,930717,633.5,2024-10-01 14:20:31
310,Production Metrics 2023,Manufacturing,Data.gov,2025-02-13,370242,352.2,2024-01-18 14:20:31
311,Sentiment Analysis 2020,Social Media,Kaggle,2025-11-14,1732286,1030.08,2024-07-03 14:20:31
312,Equipment Maintenance 2022,Manufacturing,Internal,2025-09-07,41555,24.89,2024-11-18 14:20:31
313,Sales Transactions 2023,Retail,API Collection,2024-12-28,24443,5.75,2024-10-18 14:20:31
314,Shipping Routes 2022,Transportation,Company Database,2025-05-14,39402,15.78,2024-10-14 14:20:31
315,Shopping Cart Abandonment 2022,E-commerce,Company Database,2025-03-13,405221,354.64,2025-02-10 14:20:31
316,Campaign Performance 2023,Marketing,Kaggle,2025-04-05,39678,29.84,2025-02-21 14:20:31
317,Credit Risk Assessment 2022,Finance,API Collection,2025-03-08,7517,3.08,2024-03-17 14:20:31
318,Public Transit Usage 2020,Transportation,Google Dataset Search,2025-11-27,3332007,2228.74,2024-06-17 14:20:31
319,Inventory Management 2022,Retail,Company Database,2025-10-12,6943075,5553.6,2023-12-13 14:20:31
320,Flight Schedules 2024,Transportation,Internal,2025-09-20,33463,11.31,2023-10-10 14:20:31
321,Sales Transactions 2021,Retail,Kaggle,2025-04-05,5268,5.24,2023-11-13 14:20:31
322,Quality Control 2020,Manufacturing,Company Database,2025-09-24,567774,487.17,2024-04-04 14:20:31
323,Supply Chain 2023,Manufacturing,Web Scraping,2025-09-22,713677,401.52,2025-06-16 14:20:31
324,Sentiment Analysis 2023,Social Media,Kaggle,2025-06-29,430837,312.88,2025-01-19 14:20:31
325,Medical Imaging 2021,Healthcare,UCI ML Repository,2024-12-13,256187,107.22,2024-01-23 14:20:31
326,Customer Behavior Analysis 2021,Marketing,Web Scraping,2024-12-15,51926,10.16,2023-11-26 14:20:31
327,User Purchase History 2020,E-commerce,UCI ML Repository,2025-01-10,8464344,5625.02,2024-06-05 14:20:31
328,Product Catalog 2020,E-commerce,API Collection,2025-11-18,7426809,2827.44,2025-03-15 14:20:31
329,Product Catalog 2022,E-commerce,AWS Open Data,2025-11-08,9382,4.31,2025-04-10 14:20:31
330,Vehicle Telemetry 2020,IoT,AWS Open Data,2025-05-10,5268972,4534.65,2023-06-30 14:20:31
331,Vehicle Telemetry 2024,IoT,Kaggle,2025-11-01,9193,6.7,2024-08-03 14:20:31
332,Graduation Rates 2020,Education,Data.gov,2025-02-25,97068,66.44,2023-06-09 14:20:31
333,Influencer Metrics 2023,Social Media,Web Scraping,2025-06-12,2213,1.49,2024-11-30 14:20:31
334,Drug Interactions 2020,Healthcare,Data.gov,2025-03-20,9469745,1532.64,2024-02-15 14:20:31
335,User Purchase History 2024,E-commerce,Kaggle,2025-09-14,54806,21.42,2023-10-06 14:20:31
336,Shopping Cart Abandonment 2023,E-commerce,Data.gov,2025-09-07,8433,1.66,2024-05-21 14:20:31
337,Medical Imaging 2020,Healthcare,Web Scraping,2025-05-26,9304,8.22,2024-05-25 14:20:31
338,Production Metrics 2022,Manufacturing,GitHub,2025-07-30,314278,183.23,2024-11-27 14:20:31
339,Traffic Patterns 2024,Transportation,Internal,2025-02-18,7228,6.12,2023-06-10 14:20:31
340,Environmental Monitoring 2022,IoT,Data.gov,2025-11-10,3233846,2814.92,2025-08-07 14:20:31
341,Traffic Patterns 2022,Transportation,Kaggle,2025-01-01,76384,63.82,2024-09-05 14:20:31
342,Student Performance 2022,Education,Kaggle,2025-01-16,32335,24.13,2024-07-26 14:20:31
343,Influencer Metrics 2020,Social Media,Company Database,2025-08-01,4304061,3766.87,2023-09-25 14:20:31
344,Student Performance 2022,Education,GitHub,2025-05-12,84901,61.71,2024-12-15 14:20:31
345,Influencer Metrics 2022,Social Media,Internal,2025-02-20,11063,3.0,2023-05-12 14:20:31
346,Store Performance 2021,Retail,Internal,2025-05-22,74827,13.22,2023-06-01 14:20:31
347,Vehicle Telemetry 2021,IoT,GitHub,2025-10-05,567005,329.46,2025-02-22 14:20:31
348,Sensor Readings 2022,IoT,GitHub,2025-05-25,5805,4.35,2023-12-30 14:20:31
349,Course Enrollment 2021,Education,Kaggle,2025-01-28,791232,725.82,2023-06-01 14:20:31
350,User Purchase History 2022,E-commerce,GitHub,2025-07-02,9879053,4682.41,2025-06-01 14:20:31
351,Traffic Patterns 2021,Transportation,Kaggle,2025-05-25,5457663,2644.59,2024-10-30 14:20:31
352,Medical Imaging 2022,Healthcare,Company Database,2025-09-01,5256861,3540.78,2025-05-09 14:20:31
353,Course Enrollment 2024,Education,Kaggle,2025-07-25,7862,1.18,2023-12-18 14:20:31
354,Public Transit Usage 2021,Transportation,API Collection,2025-10-29,2158,0.3,2024-03-13 14:20:31
355,Shipping Routes 2021,Transportation,Internal,2025-06-17,29758,20.16,2024-03-05 14:20:31
356,Credit Risk Assessment 2020,Finance,Kaggle,2025-06-30,7414026,6242.43,2025-04-13 14:20:31
357,Quality Control 2020,Manufacturing,Data.gov,2025-11-12,696329,407.0,2025-03-17 14:20:31
358,Student Performance 2023,Education,API Collection,2025-06-08,7627104,3973.73,2024-01-07 14:20:31
359,Product Reviews 2021,E-commerce,UCI ML Repository,2025-05-05,6429,6.0,2024-09-27 14:20:31
360,Transaction Records 2023,Finance,UCI ML Repository,2025-04-11,9788858,4626.93,2024-08-08 14:20:31
361,Sentiment Analysis 2022,Social Media,Data.gov,2025-11-29,642903,463.5,2025-10-13 14:20:31
362,Investment Portfolio 2021,Finance,GitHub,2025-09-25,339272,150.65,2025-06-20 14:20:31
363,Customer Behavior Analysis 2020,Marketing,API Collection,2024-12-24,2999,2.84,2023-08-27 14:20:31
364,Traffic Patterns 2022,Transportation,Kaggle,2025-10-07,8681766,7617.76,2024-04-10 14:20:31
365,Inventory Management 2024,Retail,Data.gov,2025-07-11,32891,21.28,2025-02-02 14:20:31
366,Product Catalog 2020,E-commerce,GitHub,2025-05-02,6091344,1637.67,2023-12-26 14:20:31
367,Email Marketing Metrics 2020,Marketing,Web Scraping,2025-04-13,2802,2.41,2023-08-20 14:20:31
368,Inventory Management 2022,Retail,Kaggle,2025-06-01,1054,0.2,2024-12-22 14:20:31
369,Customer Behavior Analysis 2023,Marketing,GitHub,2025-09-07,34153,14.51,2025-04-28 14:20:31
370,Learning Analytics 2020,Education,Company Database,2025-11-22,32036,31.3,2024-04-15 14:20:31
371,Stock Market Data 2020,Finance,Data.gov,2025-12-01,94452,16.12,2025-04-15 14:20:31
372,Sales Transactions 2020,Retail,Google Dataset Search,2025-03-06,204256,177.7,2024-04-06 14:20:31
373,Equipment Maintenance 2022,Manufacturing,UCI ML Repository,2024-12-23,678410,466.88,2024-02-09 14:20:31
374,Store Performance 2024,Retail,API Collection,2025-04-28,84061,21.16,2024-12-12 14:20:31
375,Investment Portfolio 2020,Finance,Kaggle,2025-06-15,20365,18.88,2023-12-31 14:20:31
376,Patient Records 2021,Healthcare,Internal,2025-05-13,6384,5.62,2024-12-25 14:20:31
377,Production Metrics 2023,Manufacturing,API Collection,2025-03-02,7884810,2761.17,2024-08-01 14:20:31
378,Trending Topics 2022,Social Media,AWS Open Data,2025-08-20,900177,831.33,2023-11-06 14:20:31
379,Inventory Management 2020,Retail,Web Scraping,2025-10-05,229633,69.74,2024-07-30 14:20:31
380,Campaign Performance 2022,Marketing,AWS Open Data,2025-02-04,8307517,6442.05,2024-07-30 14:20:31
381,Email Marketing Metrics 2023,Marketing,AWS Open Data,2025-10-20,27546,11.4,2023-11-02 14:20:31
382,Learning Analytics 2024,Education,Data.gov,2025-09-15,7660378,1359.02,2025-05-25 14:20:31
383,Investment Portfolio 2021,Finance,API Collection,2025-05-21,55452,24.19,2023-06-01 14:20:31
384,Trending Topics 2022,Social Media,Web Scraping,2025-11-20,27311,10.81,2024-03-01 14:20:31
385,User Purchase History 2022,E-commerce,Google Dataset Search,2025-05-27,7733934,2498.72,2023-09-14 14:20:31
386,Credit Risk Assessment 2021,Finance,Internal,2025-06-06,623112,315.18,2024-10-04 14:20:31
387,Product Catalog 2023,E-commerce,API Collection,2025-01-31,251350,217.69,2024-01-07 14:20:31
388,Patient Records 2021,Healthcare,Data.gov,2025-11-01,676381,391.38,2024-01-26 14:20:31
389,Influencer Metrics 2022,Social Media,AWS Open Data,2025-09-20,215215,176.3,2024-01-12 14:20:31
390,Vehicle Telemetry 2024,IoT,Company Database,2025-03-08,2050093,558.14,2024-12-10 14:20:31
391,Clinical Trials 2021,Healthcare,Company Database,2025-06-30,8605536,3298.06,2024-11-19 14:20:31
392,Customer Behavior Analysis 2023,Marketing,Data.gov,2025-08-07,51462,27.11,2025-04-02 14:20:31
393,Equipment Maintenance 2020,Manufacturing,API Collection,2025-03-03,1436797,246.49,2025-01-05 14:20:31
394,Sentiment Analysis 2023,Social Media,Company Database,2025-07-17,815975,297.44,2025-01-10 14:20:31
395,Student Performance 2020,Education,UCI ML Repository,2025-08-07,9675221,8184.46,2025-05-17 14:20:31
396,Social Media Engagement 2020,Marketing,Google Dataset Search,2025-09-12,44036,4.81,2024-01-04 14:20:31
397,Inventory Management 2020,Retail,Google Dataset Search,2025-11-09,6576125,6145.13,2024-11-28 14:20:31
398,Learning Analytics 2023,Education,UCI ML Repository,2025-03-22,90292,9.07,2023-08-15 14:20:31
399,Shopping Cart Abandonment 2021,E-commerce,Web Scraping,2025-04-21,2703,2.57,2024-04-25 14:20:31
400,Smart Home Data 2021,IoT,API Collection,2025-07-01,172844,121.68,2024-08-22 14:20:31
401,Environmental Monitoring 2021,IoT,GitHub,2025-02-25,3743140,1647.56,2024-11-27 14:20:31
402,Sentiment Analysis 2023,Social Media,AWS Open Data,2025-09-29,13716,8.46,2025-06-26 14:20:31
403,Store Performance 2024,Retail,UCI ML Repository,2025-06-10,4058029,461.75,2024-11-08 14:20:31
404,Influencer Metrics 2024,Social Media,Google Dataset Search,2025-11-02,6275930,2394.75,2024-04-09 14:20:31
405,Smart Home Data 2020,IoT,Web Scraping,2025-01-25,4279667,1725.1,2023-03-09 14:20:31
406,Sales Transactions 2023,Retail,Kaggle,2025-09-03,67611,15.06,2023-10-07 14:20:31
407,Environmental Monitoring 2023,IoT,GitHub,2025-03-09,183102,116.74,2023-09-13 14:20:31
408,Equipment Maintenance 2023,Manufacturing,Internal,2025-01-14,652790,580.35,2024-10-15 14:20:31
409,Smart Home Data 2024,IoT,Google Dataset Search,2025-02-08,7915129,1708.11,2023-11-06 14:20:31
410,Quality Control 2022,Manufacturing,Data.gov,2025-11-23,1813,1.36,2025-04-30 14:20:31
411,Email Marketing Metrics 2021,Marketing,Google Dataset Search,2025-09-19,1124966,744.84,2025-08-04 14:20:31
412,Social Media Engagement 2021,Marketing,GitHub,2025-05-26,571268,510.21,2024-07-29 14:20:31
413,Influencer Metrics 2020,Social Media,API Collection,2025-06-17,2947,2.13,2024-02-09 14:20:31
414,Sensor Readings 2024,IoT,AWS Open Data,2025-10-20,6294234,3075.12,2025-02-05 14:20:31
415,Customer Behavior Analysis 2020,Marketing,API Collection,2025-09-14,1665131,1615.92,2024-09-14 14:20:31
416,Transaction Records 2022,Finance,AWS Open Data,2024-12-15,5330039,2901.02,2023-09-30 14:20:31
417,User Purchase History 2023,E-commerce,Company Database,2025-08-01,494921,94.47,2023-10-18 14:20:31
418,Drug Interactions 2021,Healthcare,Data.gov,2025-09-25,696148,395.89,2024-05-19 14:20:31
419,Campaign Performance 2024,Marketing,UCI ML Repository,2025-06-05,1248,1.17,2023-09-01 14:20:31
420,Equipment Maintenance 2024,Manufacturing,Internal,2025-05-05,1918519,1472.37,2023-11-20 14:20:31
421,Medical Imaging 2021,Healthcare,Kaggle,2025-05-14,72956,19.55,2024-09-07 14:20:31
422,Student Performance 2022,Education,API Collection,2025-05-25,7479106,2190.38,2023-08-17 14:20:31
423,Quality Control 2022,Manufacturing,Google Dataset Search,2025-06-07,68780,58.97,2024-07-30 14:20:31
424,Investment Portfolio 2021,Finance,Company Database,2025-06-11,866024,605.42,2023-08-29 14:20:31
425,Equipment Maintenance 2021,Manufacturing,Company Database,2024-12-08,7286,1.17,2024-02-20 14:20:31
426,Sentiment Analysis 2024,Social Media,API Collection,2025-07-25,29028,3.45,2024-01-08 14:20:31
427,Campaign Performance 2020,Marketing,Google Dataset Search,2025-04-12,233255,60.38,2024-12-06 14:20:31
428,Environmental Monitoring 2022,IoT,Google Dataset Search,2024-12-26,269850,232.99,2024-05-14 14:20:31
429,Sentiment Analysis 2020,Social Media,AWS Open Data,2025-04-21,7531195,3760.93,2024-12-09 14:20:31
430,Quality Control 2024,Manufacturing,Kaggle,2025-02-02,2457,1.36,2024-06-07 14:20:31
431,Equipment Maintenance 2023,Manufacturing,GitHub,2025-10-21,6579875,5553.12,2023-11-29 14:20:31
432,Traffic Patterns 2022,Transportation,UCI ML Repository,2025-04-03,6823520,5892.5,2023-04-28 14:20:31
433,Shopping Cart Abandonment 2023,E-commerce,Web Scraping,2025-07-14,243805,113.63,2023-11-06 14:20:31
434,Clinical Trials 2022,Healthcare,Internal,2025-09-02,8034,1.83,2025-07-11 14:20:31
435,Product Reviews 2024,E-commerce,Kaggle,2025-10-31,7171,1.17,2025-08-03 14:20:31
436,Drug Interactions 2024,Healthcare,Kaggle,2025-11-04,2439,2.42,2025-07-25 14:20:31
437,Sentiment Analysis 2022,Social Media,Internal,2025-07-16,5785093,5747.36,2023-08-29 14:20:31
438,Drug Interactions 2024,Healthcare,Data.gov,2025-01-19,49365,12.24,2024-08-23 14:20:31
439,Store Performance 2020,Retail,Google Dataset Search,2025-08-17,125612,35.36,2023-10-11 14:20:31
440,Drug Interactions 2020,Healthcare,Kaggle,2025-09-20,3177713,1135.63,2024-09-26 14:20:31
441,Email Marketing Metrics 2021,Marketing,API Collection,2025-09-17,8350853,3223.39,2024-03-09 14:20:31
442,Store Performance 2023,Retail,Company Database,2025-05-01,5755,1.14,2023-05-17 14:20:31
443,Campaign Performance 2022,Marketing,Google Dataset Search,2025-08-29,37155,13.2,2024-07-05 14:20:31
444,Transaction Records 2020,Finance,API Collection,2025-10-02,7542,4.25,2024-09-28 14:20:31
445,Trending Topics 2023,Social Media,Web Scraping,2025-07-13,28054,16.55,2024-09-16 14:20:31
446,Transaction Records 2023,Finance,Google Dataset Search,2025-03-11,56916,47.34,2024-07-21 14:20:31
447,Influencer Metrics 2022,Social Media,Google Dataset Search,2025-09-25,7413,4.61,2025-03-03 14:20:31
448,Environmental Monitoring 2024,IoT,Google Dataset Search,2025-03-08,3423,2.19,2023-12-16 14:20:31
449,Flight Schedules 2021,Transportation,Web Scraping,2025-10-15,6790,4.31,2023-12-17 14:20:31
450,Customer Foot Traffic 2024,Retail,Kaggle,2025-07-18,8831,6.98,2023-09-23 14:20:31
451,Course Enrollment 2022,Education,Company Database,2024-12-14,740736,128.08,2024-09-06 14:20:31
452,Learning Analytics 2024,Education,AWS Open Data,2025-05-29,7394222,2263.13,2024-10-31 14:20:31
453,Clinical Trials 2021,Healthcare,AWS Open Data,2025-02-27,73366,10.28,2023-07-27 14:20:31
454,Shopping Cart Abandonment 2020,E-commerce,Google Dataset Search,2025-03-01,2702,0.98,2023-05-27 14:20:31
455,Social Media Engagement 2020,Marketing,Data.gov,2025-09-09,6986425,2664.9,2025-08-09 14:20:31
456,Sentiment Analysis 2024,Social Media,UCI ML Repository,2025-06-17,86466,31.57,2024-06-29 14:20:31
457,Vehicle Telemetry 2024,IoT,UCI ML Repository,2025-08-07,8294,3.04,2024-10-17 14:20:31
458,Supply Chain 2022,Manufacturing,AWS Open Data,2025-01-26,26383,24.36,2023-02-05 14:20:31
459,Store Performance 2022,Retail,API Collection,2025-07-31,7500,2.83,2025-01-21 14:20:31
460,Product Reviews 2023,E-commerce,Google Dataset Search,2025-05-11,807935,670.97,2024-09-13 14:20:31
461,Sales Transactions 2020,Retail,UCI ML Repository,2025-02-17,77119,33.2,2023-06-22 14:20:31
462,User Interactions 2022,Social Media,UCI ML Repository,2025-01-06,165118,128.94,2023-10-26 14:20:31
463,Store Performance 2023,Retail,API Collection,2025-10-05,3000,2.77,2024-03-10 14:20:31
464,Course Enrollment 2020,Education,AWS Open Data,2025-09-10,2107580,648.55,2024-07-17 14:20:31
465,Product Catalog 2023,E-commerce,Internal,2025-05-15,8185741,1335.49,2025-03-07 14:20:31
466,Inventory Management 2020,Retail,Internal,2025-03-24,1103,0.99,2023-04-16 14:20:31
467,Smart Home Data 2021,IoT,Kaggle,2025-01-04,33098,29.2,2023-06-07 14:20:31
468,Quality Control 2021,Manufacturing,API Collection,2025-08-25,31627,8.01,2023-09-06 14:20:31
469,Credit Risk Assessment 2024,Finance,Data.gov,2024-12-13,599769,446.17,2024-06-27 14:20:31
470,Traffic Patterns 2020,Transportation,Kaggle,2025-02-26,9857753,7689.52,2024-12-24 14:20:31
471,Inventory Management 2024,Retail,Web Scraping,2025-03-01,7321119,788.95,2024-12-30 14:20:31
472,Equipment Maintenance 2024,Manufacturing,Web Scraping,2025-07-20,8427,4.7,2025-04-03 14:20:31
473,Graduation Rates 2021,Education,API Collection,2025-07-13,1241362,262.8,2024-11-19 14:20:31
474,User Interactions 2023,Social Media,Google Dataset Search,2025-04-20,6998281,3668.2,2023-08-11 14:20:31
475,Drug Interactions 2023,Healthcare,Kaggle,2025-05-23,64441,59.45,2024-07-31 14:20:31
476,Trending Topics 2023,Social Media,Web Scraping,2025-06-08,553794,185.77,2025-02-21 14:20:31
477,Sensor Readings 2023,IoT,Company Database,2025-07-30,895299,439.36,2024-06-26 14:20:31
478,Inventory Management 2024,Retail,Internal,2025-04-10,227835,153.53,2023-07-18 14:20:31
479,Influencer Metrics 2023,Social Media,Web Scraping,2025-10-04,62286,47.49,2024-05-27 14:20:31
480,Product Reviews 2021,E-commerce,AWS Open Data,2025-01-30,3339751,2652.18,2023-11-27 14:20:31
481,Sentiment Analysis 2023,Social Media,Kaggle,2025-11-07,4817,3.58,2024-06-07 14:20:31
482,Shipping Routes 2022,Transportation,API Collection,2025-02-12,74588,65.04,2024-05-12 14:20:31
483,Medical Imaging 2023,Healthcare,Internal,2025-06-27,81884,30.74,2024-05-29 14:20:31
484,Store Performance 2020,Retail,Data.gov,2025-07-19,1176,0.85,2024-01-19 14:20:31
485,Graduation Rates 2021,Education,Internal,2025-04-04,8912,6.41,2023-07-10 14:20:31
486,Quality Control 2023,Manufacturing,Company Database,2025-04-06,831045,124.63,2025-01-10 14:20:31
487,Customer Behavior Analysis 2023,Marketing,Kaggle,2025-10-28,1625667,914.07,2023-11-22 14:20:31
488,Supply Chain 2021,Manufacturing,Company Database,2025-04-27,6576935,1734.33,2023-06-11 14:20:31
489,User Interactions 2022,Social Media,Internal,2025-10-13,1867428,1120.8,2024-07-22 14:20:31
490,Graduation Rates 2023,Education,API Collection,2025-08-21,772650,702.89,2025-05-25 14:20:31
491,Shopping Cart Abandonment 2022,E-commerce,Data.gov,2025-07-05,1056,0.19,2024-07-16 14:20:31
492,Product Reviews 2024,E-commerce,Web Scraping,2025-02-07,790349,695.7,2024-03-23 14:20:31
493,Product Catalog 2024,E-commerce,API Collection,2025-11-15,4842,3.66,2025-04-25 14:20:31
494,Quality Control 2024,Manufacturing,Data.gov,2025-06-21,294642,57.82,2023-08-05 14:20:31
495,User Interactions 2022,Social Media,UCI ML Repository,2025-01-13,4124,2.56,2024-09-16 14:20:31
496,Campaign Performance 2021,Marketing,Internal,2025-04-17,9488,1.96,2025-01-27 14:20:31
497,Investment Portfolio 2022,Finance,GitHub,2025-08-03,41588,18.98,2024-07-07 14:20:31
498,Learning Analytics 2022,Education,Google Dataset Search,2025-08-16,9575,4.09,2025-05-13 14:20:31
499,Flight Schedules 2023,Transportation,API Collection,2025-02-08,2659,1.45,2024-03-06 14:20:31
500,Investment Portfolio 2023,Finance,Data.gov,2025-10-23,1014353,272.65,2025-02-26 14:20:31
501,Investment Portfolio 2022,Finance,API Collection,2025-05-03,60047,10.79,2024-05-08 14:20:31
502,Store Performance 2023,Retail,AWS Open Data,2025-04-27,42332,19.53,2023-05-06 14:20:31
503,Product Catalog 2021,E-commerce,Web Scraping,2025-01-28,6322,5.44,2024-01-04 14:20:31
504,Sentiment Analysis 2023,Social Media,Company Database,2025-04-19,6609,3.66,2024-04-02 14:20:31
505,Product Catalog 2020,E-commerce,GitHub,2025-07-29,785786,689.11,2024-03-28 14:20:31
506,Sensor Readings 2022,IoT,UCI ML Repository,2025-01-20,98062,54.43,2024-04-09 14:20:31
507,Investment Portfolio 2022,Finance,Google Dataset Search,2025-10-08,18219,15.48,2024-06-29 14:20:31
508,Clinical Trials 2021,Healthcare,Google Dataset Search,2025-05-09,4748912,2016.66,2024-07-07 14:20:31
509,Inventory Management 2023,Retail,UCI ML Repository,2025-09-21,7380762,3605.31,2024-01-22 14:20:31
510,Product Reviews 2023,E-commerce,Google Dataset Search,2025-02-20,9107,5.28,2023-06-05 14:20:31
511,Production Metrics 2023,Manufacturing,AWS Open Data,2025-01-19,8713,4.53,2024-04-11 14:20:31
512,Inventory Management 2023,Retail,Company Database,2025-03-23,406803,123.55,2024-03-14 14:20:31
513,Product Reviews 2024,E-commerce,Company Database,2025-04-30,7313,0.93,2024-01-06 14:20:31
514,Smart Home Data 2020,IoT,Company Database,2025-03-02,434661,132.24,2024-08-24 14:20:31
515,User Interactions 2020,Social Media,Company Database,2025-04-19,6552145,5711.78,2024-10-16 14:20:31
516,Learning Analytics 2023,Education,Web Scraping,2025-03-25,5289,4.84,2025-01-03 14:20:31
517,Inventory Management 2020,Retail,API Collection,2025-08-04,8448336,7630.18,2023-12-23 14:20:31
518,Stock Market Data 2022,Finance,Company Database,2025-07-18,1805,1.37,2024-07-10 14:20:31
519,Investment Portfolio 2021,Finance,UCI ML Repository,2025-09-04,577822,72.81,2023-10-23 14:20:31
520,Medical Imaging 2023,Healthcare,Web Scraping,2025-08-03,870449,310.85,2023-08-18 14:20:31
521,Influencer Metrics 2023,Social Media,GitHub,2025-04-06,23580,4.97,2023-10-11 14:20:31
522,Trending Topics 2023,Social Media,Internal,2025-09-23,9786769,8164.89,2025-08-15 14:20:31
523,User Purchase History 2021,E-commerce,Kaggle,2025-04-04,598626,449.68,2023-12-11 14:20:31
524,Public Transit Usage 2021,Transportation,AWS Open Data,2025-05-28,86529,47.75,2025-04-03 14:20:31
525,Traffic Patterns 2024,Transportation,Company Database,2024-12-31,34986,29.14,2023-07-22 14:20:31
526,User Purchase History 2024,E-commerce,Company Database,2025-03-22,988605,973.03,2023-05-26 14:20:31
527,Traffic Patterns 2024,Transportation,AWS Open Data,2025-01-07,7994,6.99,2023-07-09 14:20:31
528,Transaction Records 2024,Finance,Internal,2025-01-22,784959,315.7,2023-02-18 14:20:31
529,Environmental Monitoring 2021,IoT,Data.gov,2025-09-13,69062,34.12,2024-06-17 14:20:31
530,Credit Risk Assessment 2020,Finance,UCI ML Repository,2025-08-23,9092258,8348.13,2024-11-14 14:20:31
531,User Interactions 2021,Social Media,UCI ML Repository,2025-03-19,3122,3.05,2023-09-26 14:20:31
532,Learning Analytics 2021,Education,Web Scraping,2025-06-25,685028,365.65,2024-04-01 14:20:31
533,Social Media Engagement 2023,Marketing,AWS Open Data,2025-10-28,565720,375.44,2024-05-02 14:20:31
534,Production Metrics 2022,Manufacturing,GitHub,2025-07-25,97107,48.56,2023-09-08 14:20:31
